NIVEL	CONTENIDO	TAGS	URL
1.5.2.4	Modernismo y Vanguardias (Futurismo,Dadaísmo,Surrealismo,Cubismo).	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.2.5	Literatura Contemporánea: Generación del 98,Boom Latinoamericano.	[UNAM,EXANI II MOD11,UAM A3]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.3	Literatura Hispanoamericana y Mexicana	[UNAM,EXANI II MOD11,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.3.1	Literatura prehispánica (Nezahualcóyotl) y Cronistas de Indias.	[UNAM,UAM A3,EXANI II MOD11]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.3.2	Barroco novohispano (Sor Juana Inés de la Cruz).	[UNAM,UAM A3]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.3.3	Literatura Mexicana S. XIX y XX: Octavio Paz,Juan Rulfo,Rosario Castellanos.	[UNAM,UAM A3,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.3.4	Autores representativos latinoamericanos: García Márquez,Cortázar,Vargas Llosa,Borges.	[UNAM,UAM A3,EXANI II MOD11]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.4	Redacción y técnicas de investigación documental	[UNAM,IPN,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.4.1	Fichas bibliográficas,hemerográficas y de trabajo.	[UNAM,IPN,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
1.5.4.2	Resumen,paráfrasis,cita textual y referencias (APA).	[UNAM,IPN,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2	Bloque II: Matemáticas	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1	Pensamiento Matemático y Aritmética	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.1	Números Reales y Operaciones Básicas	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.1.1	Suma,resta,multiplicación y división con enteros,decimales y fracciones.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.1.2	Jerarquía de operaciones (agrupación y signos).	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.1.3	Mínimo Común Múltiplo (mcm) y Máximo Común Divisor (MCD).	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.1.4	Propiedades de los números reales (primos,compuestos,teorema fundamental).	[UNAM,IPN,BUAP,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.2	Razones y Proporciones	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.2.1	Porcentajes,descuentos y variación proporcional directa e inversa.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.2.2	Regla de tres simple y compuesta.	[UNAM,IPN,UAM,EXANI II MAT,PAA,USEP,BUAP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.3	Sucesiones y Series Numéricas	[UNAM,IPN,UAM,EXANI II MAT,BUAP,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.3.1	Patrones numéricos,alfanuméricos y de figuras.	[IPN,UAM,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.3.2	Sucesiones aritméticas y geométricas.	[IPN,UAM,BUAP,EXANI II MAT]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.4	Números Complejos	[UNAM A1,UNAM A2,IPN A1]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.1.4.1	Operaciones básicas con números complejos (forma binómica).	[UNAM A1,UNAM A2,IPN A1]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2	Álgebra	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.1	Fundamentos Algebraicos	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.1.1	Lenguaje algebraico: traducción de enunciados.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.1.2	Leyes de los exponentes y radicales (racionalización).	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.1.3	Operaciones con polinomios: suma,resta,producto y división.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.2	Productos Notables y Factorización	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.2.1	Binomio al cuadrado,conjugados,con término común,cubo de un binomio.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.2.2	Binomio de Newton (Teorema del residuo y del factor).	[UNAM A1,UNAM A2,IPN A1]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.2.3	Factorización: factor común,diferencia de cuadrados,trinomios.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.2.4	Simplificación y operaciones con fracciones algebraicas.	[UNAM,IPN,UAM]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.3	Ecuaciones y Desigualdades	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.3.1	Ecuaciones de primer grado (lineales) con una incógnita.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.3.2	Sistemas de ecuaciones lineales (2x2 y 3x3): métodos de solución (Cramer,etc.).	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.3.3	Ecuaciones de segundo grado: fórmula general y factorización.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.2.3.4	Desigualdades (inecuaciones) lineales y cuadráticas.	[UNAM,IPN,UAM,EXANI II MAT,BUAP,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3	Geometría Euclidiana y Trigonometría	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.1	Geometría Plana	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.1.1	Ángulos: clasificación,conversión (grados/radianes),entre paralelas.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.1.2	Triángulos: semejanza (Tales),congruencia,Teorema de Pitágoras.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.1.3	Polígonos y Círculo: perímetros,áreas,propiedades.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.1.4	Cuerpos geométricos (Volumen y área superficial).	[UNAM,IPN,UAM A1,UAM A2,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.2	Trigonometría	[UNAM,IPN,UAM A1,UAM A2,EXANI II MAT,PAA,BUAP A1,BUAP A2,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.2.1	Razones trigonométricas (seno,coseno,tangente) en triángulos rectángulos.	[GENERAL]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.2.2	Círculo trigonométrico y funciones en cualquier cuadrante.	[UNAM,IPN,UAM A1,UAM A2,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.2.3	Ley de Senos y Ley de Cosenos (triángulos oblicuángulos).	[UNAM,IPN,UAM,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.3.2.4	Identidades trigonométricas fundamentales.	[UNAM,IPN,UAM A1,UAM A2,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4	Geometría Analítica	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.1	Conceptos Básicos y Recta	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.1.1	Plano cartesiano,distancia entre dos puntos y punto medio.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.1.2	División de un segmento en una razón dada.	[UNAM,IPN,UAM A1,UAM A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.1.3	La Recta: pendiente,ángulo de inclinación,condiciones de paralelismo/perpendicularidad.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.1.4	Ecuaciones de la recta (general,punto-pendiente,simétrica).	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.2	Cónicas	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.2.1	La Circunferencia: ecuaciones (ordinaria,general) y elementos.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.2.2	La Parábola: ecuaciones,vértice,foco,directriz.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.2.3	La Elipse: ecuaciones,focos,ejes.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.2.4	La Hipérbola: ecuaciones y asíntotas.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.4.2.5	Ecuación general de segundo grado (identificación de cónicas).	[UNAM,IPN,UAM A1,UAM A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.5	Funciones	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.5.1	Análisis de Funciones	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.5.1.1	Definición,dominio,contradominio (rango) y gráfica.	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.5.1.2	Funciones algebraicas (lineales,cuadráticas) y trascendentes (exponenciales,logarítmicas).	[UNAM,IPN,UAM A1,UAM A2,EXANI II MOD04,BUAP A1,BUAP A2,PAA]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.5.1.3	Operaciones con funciones y composición.	[UNAM,IPN,UAM A1,UAM A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.5.1.4	Funciones implícitas,explícitas,crecientes,decrecientes,continuas,discontinuas.	[UNAM]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6	Cálculo Diferencial e Integral	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.1	Límites y Continuidad	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.1.1	Definición y teoremas de límites (laterales,al infinito).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.1.2	Cálculo de límites (formas indeterminadas).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.1.3	Continuidad de una función.	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.2	La Derivada	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.2.1	Definición e interpretación geométrica (pendiente de la tangente).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.2.2	Reglas de derivación (algebraicas,cadena,potencia,producto,cociente).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.2.3	Derivadas de funciones trascendentes (trigonométricas,exponenciales,logarítmicas).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.2.4	Derivadas implícitas y de orden superior.	[UNAM A1,UNAM A2,IPN A1,IPN A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.2.5	Aplicaciones de la derivada: máximos,mínimos,puntos de inflexión,velocidad/aceleración.	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04,BUAP A2]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.3	La Integral	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.3.1	Integral indefinida (antiderivada) y constante de integración.	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.3.2	Fórmulas básicas y métodos (cambio de variable,por partes,fracciones parciales).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.6.3.3	Integral definida,Teorema Fundamental y cálculo de áreas (bajo la curva).	[UNAM A1,UNAM A2,IPN A1,IPN A2,UAM A1,UAM A2,EXANI II MOD04]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
2.7	Probabilidad y Estadística	[IPN,UAM A2,UAM A3,EXANI II MOD14,BUAP,PAA,USEP]	https://simuladores.cepredix.com.mx/00-espera-un-poco-un-poquito-maaaaas.html
